angle_legs_0,angle_torso_0, angle_head_arms_0,angle_legs_1,angle_torso_1, angle_head_arms_1,angle_legs_2,angle_torso_2, angle_head_arms_2,angle_legs_3,angle_torso_3, angle_head_arms_3,angle_legs_4,angle_torso_4, angle_head_arms_4,angle_legs_5,angle_torso_5, angle_head_arms_5,angle_legs_6,angle_torso_6, angle_head_arms_6,angle_legs_7,angle_torso_7, angle_head_arms_7,angle_legs_8,angle_torso_8, angle_head_arms_8,angle_legs_9,angle_torso_9, angle_head_arms_9,angle_legs_10,angle_torso_10, angle_head_arms_10,angle_legs_11,angle_torso_11, angle_head_arms_11,angle_legs_12,angle_torso_12, angle_head_arms_12,angle_legs_13,angle_torso_13, angle_head_arms_13,angle_legs_14,angle_torso_14, angle_head_arms_14,angle_legs_15,angle_torso_15, angle_head_arms_15,angle_legs_16,angle_torso_16, angle_head_arms_16,angle_legs_17,angle_torso_17, angle_head_arms_17,angle_legs_18,angle_torso_18, angle_head_arms_18,angle_legs_19,angle_torso_19, angle_head_arms_19,angle_legs_20,angle_torso_20, angle_head_arms_20,angle_legs_21,angle_torso_21, angle_head_arms_21,angle_legs_22,angle_torso_22, angle_head_arms_22,angle_legs_23,angle_torso_23, angle_head_arms_23,angle_legs_24,angle_torso_24, angle_head_arms_24,angle_legs_25,angle_torso_25, angle_head_arms_25,angle_legs_26,angle_torso_26, angle_head_arms_26,angle_legs_27,angle_torso_27, angle_head_arms_27,angle_legs_28,angle_torso_28, angle_head_arms_28,angle_legs_29,angle_torso_29, angle_head_arms_29,angle_legs_30,angle_torso_30, angle_head_arms_30,angle_legs_31,angle_torso_31, angle_head_arms_31,angle_legs_32,angle_torso_32, angle_head_arms_32,angle_legs_33,angle_torso_33, angle_head_arms_33,angle_legs_34,angle_torso_34, angle_head_arms_34,angle_legs_35,angle_torso_35, angle_head_arms_35,angle_legs_36,angle_torso_36, angle_head_arms_36,angle_legs_37,angle_torso_37, angle_head_arms_37,angle_legs_38,angle_torso_38, angle_head_arms_38,angle_legs_39,angle_torso_39, angle_head_arms_39,angle_legs_40,angle_torso_40, angle_head_arms_40,angle_legs_41,angle_torso_41, angle_head_arms_41,angle_legs_42,angle_torso_42, angle_head_arms_42,speed,distance
302.9843248,225.6488947,259.9928045,301.4009186,226.2681524,263.1404919,301.1065682,225.6259697,267.728913,297.8799137,228.2249105,271.1381147,296.7980725,228.9351908,271.7751798,296.9683865,225.4503453,274.4366245,298.355073,222.433322,273.7823738,305.583185,222.6629355,314.8363307,335.816943,189.404122,341.7694886,14.47775755,153.3487611,354.8086553,18.83382989,143.5949924,337.5382056,56.24326661,110.9780859,67.19504763,18.30723398,149.5272916,28.8285307,3.668839191,163.951223,14.46676891,322.8996396,191.2650181,302.8289663,290.1957764,214.1337397,260.6641731,276.9812445,231.6815687,260.8010079,312.8016551,209.1090208,305.1192673,289.0655136,226.4932395,302.8796567,342.6109956,159.1655791,356.6212037,344.8922241,167.1241501,355.6940507,308.8161459,199.7121229,25.01714436,265.9525754,225.2472549,322.5926302,266.4468672,212.9230507,301.5911822,258.338914,222.5550869,292.2165326,240.9553607,230.7024126,293.0231357,267.1058809,205.5716649,288.335155,225.6869305,239.0598198,262.8241816,205.636319,267.8014261,292.4096401,220.2483291,254.3886378,282.7643064,186.1263661,277.9982605,280.6131353,179.0599719,274.7624627,273.1204726,162.1546481,279.6068287,268.8194038,147.8052401,284.3518221,256.7831931,146.4344365,285.1713266,255.2626637,171.6402788,286.1513563,250.1744628,135.5813302,290.8192398,241.4412088,106.2059237,297.3324659,250.1891734,217.4783505,286.4793261,259.7263026,80.59558818,292.6615345,251.3471027,105.6701512,274.3881859,272.2142328,62.95317024,303.8703558,255.5042759,271.9673322,98.61023899,65.28347591,124.752461,5
123,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5.5
